source,target
माल्टीज़,यूरोपीय संघ <OR> माल्टा <OR> अंग्रेजी <OR> माल्टीज द्वीपसमूह <OR> माल्टीज द्वीपसमूह <OR> यूरोप <OR> यूरोपीय संघ <OR> माल्टीज द्वीपसमूह
हवाई,हवाई भाषा <OR> अंग्रेजी <OR> हवाई <OR> मूल हवाई
सॉवरेन मिलिट्री ऑर्डर ऑफ माल्टा,लैटिन
लोगर प्रांत,दाढ़ी
पोसिओ,फिनिश
बीजान्टिन साम्राज्य,मध्यकालीन ग्रीक <OR> मध्यकालीन ग्रीक <OR> लैटिन
बनी मार्घनीन,अमाज़िघ
सीआईएस देशों,रूसी भाषा <OR> रूसी
मैन्सेरॉक,फिनिश
चेकिया,चेक
आनादिर,चुकची <OR> रूसी
बीजान्टिन्स,मध्यकालीन ग्रीक <OR> लैटिन
ओरिवेसि,फिनिश
अद्यगेया,अदिगे भाषा <OR> रूसी <OR> अदिगे <OR> चेरकेसी
मार्शल्स,मार्शलीज
त्य्वा,तुवान <OR> तुविन <OR> तुवा <OR> त्यवान <OR> तुविनियन <OR> रूसी
राजस्थान,मानक हिंदी <OR> हिंदी <OR> हिंदी <OR> हिंदी भाषा <OR> हिंदी भाषा
मलय,अंग्रेजी
इंडोनेशियाई द्वीपसमूह,इंडोनेशिया
नीदरलैंडी भाषा संघ,डच <OR> डच भाषा
केप वर्डियन,नमक
उलविला,फिनिश
फोरमेंटेरा,स्पेनिश <OR> कैटलन
जर्मन भाषी समुदाय,जर्मन भाषी <OR> जर्मन भाषा
रौतजार्वि,फिनिश
चाड,फ्रेंच
बोरगो,स्वीडिश <OR> स्वीडिश भाषा <OR> फिनिश
सोवियत संघ,रूसी
पोलिश राष्ट्र,पोलिश
विश्व एस्पेरांतो युवा संगठन,एस्पेरांतो
विन्सेंटियन,स्पेनिश
चेक गणराज्य,चेक भाषा <OR> चेक <OR> चेक भाषा <OR> चेक भाषा
यूगोस्लाविया से,सर्बियाई <OR> सर्बियाई सिरिलिक
पीएच,फिलिपिनो
चीता,रूसी
मेडिसी फ्लोरेंस,लैटिन
बैयानो,पुर्तगाली
आचे,इंडोनेशियाई <OR> इंडोनेशिया <OR> अचीनी
सुई,जीईआर
ग्रीक भाषा,साइप्रस का <OR> ग्रीस <OR> साइप्रस <OR> यूरोप
फ्लोरेंटाइन,लैटिन
बेलारूसी,रूसीकृत <OR> रूसी <OR> बेलारूसी भाषा
य्लिटोर्नियो,फिनिश
फिलिस्तीनी क्षेत्र,इब्रानी
अबाज़ा,काराचे-चेर्केसिया <OR> काराचे-चेर्केस गणराज्य <OR> काराचे-चेर्केस गणराज्य
एससी,अंग्रेजी
नेपाली साहित्य,नेपाली भाषा <OR> नेपाली
यूगोस्लाव,सर्बो-क्रोएशियाई <OR> सर्बियाई
तंजानिया,स्वाहिली <OR> अंग्रेजी भाषा <OR> अंग्रेजी <OR> स्वाहिली भाषा <OR> किस्वाहिली भाषा <OR> स्वाहिली <OR> एंग्लोफोन <OR> किस्वाहिली
उत्तर सुमात्रा,इंडोनेशियाई <OR> इंडोनेशिया
ओडेसा,यूक्रेनी <OR> रूसी
क्यमी,फिनिश
बाहरी मंगोलिया,मंगोल <OR> मंगोलियाई
विश्व व्यापार संगठन,फ्रेंच
यूनिवर्सल एस्पेरांतो संघ,एस्पेरांतो
अलाजार्वी,फिनिश
सिएरा लियोन,अंग्रेजी भाषा <OR> अंग्रेजी
र्यूक्यूस,साहित्यिक चीनी
स्वीडन-नॉर्वे,स्वीडिश <OR> नॉर्वेजियन
स्टॉकहोम,स्वीडिश
केरलवासी,मलयालम
सखा गणराज्य,रूसी
बुर्किनाबे,फ्रेंच
इंका,केचुआ
चेकोस्लोवाक,चेक भाषा <OR> चेक <OR> चेक भाषा <OR> स्लोवाक
बल्गेरियाई ऑर्थोडॉक्स चर्च,बल्गेरियाई भाषा <OR> बल्गेरियाई
नूर्ड,डच
विशेष नगरपालिकाएं,डच
लप्पाजार्वि,फिनिश
हैलुओटो,फिनिश
तातारस्तान,वोल्गा तातार <OR> टाटर भाषा <OR> तातार <OR> रूसी <OR> टाटर भाषा
चीन,गुओयु <OR> मंचू <OR> कैंटोनीज <OR> तिब्बती <OR> खलखा मंगोलियाई <OR> पुतोंगहुआ <OR> मानक तिब्बती <OR> चीनी भाषा <OR> मंदारिन चीनी <OR> मंगोलियाई भाषा <OR> मंगोलियाई <OR> खलखा-मंगोलियाई <OR> सरलीकृत चीनी <OR> चीनी <OR> मंदारिन <OR> पारंपरिक चीनी <OR> मांचू भाषा <OR> मंगोल <OR> चीनी भाषा <OR> मानक मंदारिन <OR> आधुनिक मानक चीनी <OR> मंगोलियाई भाषा <OR> मानक चीनी <OR> तिब्बती भाषा
फिनिश ऑर्थोडॉक्स चर्च,फिनिश
उत्तरी अटलांटिक संधि संगठन (नाटो),अंग्रेजी <OR> फ्रेंच
बश्कोर्ट,बश्कोर्तोस्तान
अक्रोतिरी,अंग्रेजी
कैरूज,फ्रेंच
जनक्कला,फिनिश
रूसी गणराज्य,रूसी
वेल्स की प्रिंसिपैलिटी,वेल्श
तम्मेरफोर्स,फिनिश
स्लोवेनिया,स्लोवेनियाई भाषा <OR> स्लोवेनियाई भाषा <OR> स्लोवेनियाई भाषा <OR> स्लोवेनियाई <OR> स्लोवेनियाई भाषा <OR> स्लोवेनियाई
तेउवा,फिनिश
कुमलिंगे,स्वीडिश
फ़ॉकलैंड द्वीपसमूह,अंग्रेजी
लिस्ले,फ्रेंच
रूसी सोवियत संघीय समाजवादी गणराज्य,रूसी
चिंग राजवंश,चीनी
फ्रेंच दक्षिणी और अंटार्कटिक भूमि,फ्रेंच
पीएमआर,मोल्दोवन <OR> रूसी <OR> मोल्दोवा
सीए,अंग्रेजी
टीएएएफ,फ्रेंच
वेज़ाक डॉर्डोग्ने,फ्रेंच
फ्लेमिश समुदाय,डच
लामोने,इतालवी
कांगो गणराज्य,फ्रेंच
पुओलंका,फिनिश
क्यूबेकवासी,फ्रेंच
ग्रीस,आधुनिक ग्रीक
नया शहर,फिनिश
उप्साला,स्वीडिश
ज्युवास्कुला,फिनिश
फिलीपीन द्वीपसमूह,फिलिपिनो <OR> अंग्रेजी <OR> फिलिपिनो
स्पेनी उपनिवेशी साम्राज्य,स्पेनिश
बजन,अंग्रेजी
यूरोप,नीदरलैंड <OR> आयरिश भाषा <OR> फिनिश <OR> फ्रेंच <OR> लातवी भाषा <OR> फ्रेंकोफोन <OR> जर्मन भाषा <OR> ग्रीक भाषा <OR> चेक <OR> शाब्दिक अंग्रेजी <OR> स्वीडिश <OR> फ्रेंच भाषा <OR> डच भाषा <OR> इतालवी भाषा <OR> अंग्रेजी भाषा <OR> पुर्तगाली <OR> एफआर <OR> फ्रेंच भाषा <OR> ग्रीक <OR> डेनिश <OR> स्लोवाक <OR> एस्टोनियाई <OR> लिथुआनियाई भाषा <OR> रोमानियाई <OR> स्पेनिश <OR> अंग्रेजी <OR> क्रोएशियाई <OR> माल्टीज़ <OR> स्लोवेनियाई <OR> स्पेनिश भाषा <OR> जर्मन भाषा <OR> लातवियाई <OR> अंग्रेजी भाषी <OR> लिथुआनियाई <OR> एंग्लोफोन <OR> बल्गेरियाई <OR> हंगेरियन <OR> डच <OR> पोलिश <OR> डीई <OR> पोलिश भाषा <OR> इतालवी <OR> ब्रिटिश अंग्रेजी <OR> आयरिश
बोस्निया और हर्जेगोविना संघ,क्रोएशियाई <OR> सर्बियाई
सिपू,स्वीडिश <OR> फिनिश भाषा <OR> फिनिश
अलास्का,अंग्रेजी
होंडुरास,स्पेनिश <OR> हिस्पैनिक <OR> स्पेनिश भाषा
केप वर्डे द्वीपसमूह,पुर्तगाली
हुएहुएतेनांगो,अवाकाटेक <OR> अकाटेक <OR> एग्वाकाटेको <OR> मैम <OR> चुज
राउमा फिनलैंड,फिनिश
वेरियर,फ्रेंच
प्रसन्न,फिनिश
ईई फिनलैंड,फिनिश
मॉस्को गणितीय सोसायटी,रूसी
श्वेत रूस,बेलारूसी
वालोनिया,फ्रेंच भाषा <OR> फ्रेंच <OR> फ्रेंच भाषा <OR> फ्रेंकोफोन <OR> फ्रैंकोफोन
कनाडा,फ्रेंच भाषा <OR> एंग्लिसाइज्ड <OR> Please provide the text you want to translate into Hindi <OR> एंग्लिसाइज्ड <OR> फ्रेंच भाषा <OR> एंग्लो <OR> अंग्रेजी भाषा <OR> अंग्रेजी <OR> फ्रेंच <OR> आधुनिक अंग्रेजी <OR> फ्रेंच भाषा <OR> फ्रैंकोफोनी <OR> फ्रेंकोफोन <OR> फ्रेंच भाषा <OR> अंग्रेज़ी भाषी <OR> फ्रेंच भाषा <OR> एंग्लोफोन <OR> फ्रैंकोफोन
कुह्मो,फिनिश
होंडुरास के लोग,स्पेनिश
मोज़ाम्बिक,पुर्तगाली
खमेर,खमेर भाषा
सर्बो-मोंटेनेग्रिन,सर्बियाई
रूस सोवियत संघराज्य,रूसी
ऑर्किश,काला भाषण
रेनेंस,फ्रेंच भाषा <OR> फ्रैंकोफोन
उत्तर सुमात्रा,बहासा इंडोनेशिया <OR> इंडोनेशियाई <OR> मिनांगकाबाउ भाषा <OR> इंडोनेशिया
हैंगो,स्वीडिश <OR> फिनिश
सैक्यला,फिनिश
नुम्मेला,फिनिश
हैती,हैतियन क्रियोल <OR> फ्रेंच
संयुक्त प्रांत,उर्दू <OR> हिंदी
स्लोवेनियाई भाषा,स्लोवेनियाई <OR> स्लोवेनिया
जॉर्जियाई ऑर्थोडॉक्स ईसाई,जॉर्जियाई
लेहेंदाकारी,स्पेनिश <OR> बास्क
कैटलन्स,स्पेनिश <OR> कैटलन <OR> कैटलन भाषा
स्टावरोपोल क्राय,रूसी
विची युग,फ्रेंच
ग्वाटेमाला,कास्तिलियन <OR> स्पेनिश <OR> स्पेनी भाषा <OR> स्पेनिश भाषा
क्यूबेक सिटी क्यूबेक,फ्रेंच भाषा <OR> फ्रेंच भाषा <OR> फ्रेंच <OR> फ्रेंकोफोन
फ्रेंच इतिहासकार,फ्रेंच
तुवा गणराज्य,तुवान <OR> रूसी
मोर्दोविया,रूसी भाषा <OR> एर्ज़्या <OR> मोक्ष भाषा <OR> एर्ज़्या भाषा <OR> रूसी <OR> एर्ज़्या भाषा <OR> मोक्ष
ओउलुन्सालो,फिनिश
एलिकांते,स्पेनिश <OR> वालेंसियाई
जुरा बर्नोइस प्रशासनिक जिला,फ्रेंच
केइटेले,फिनिश
ब्रिटिश कोलंबिया,अंग्रेजी भाषा <OR> अंग्रेजी
अमेज्जाउ,अमाज़िघ
तुर्की,ओटोमन तुर्की <OR> तुर्की <OR> तुर्किक <OR> आधुनिक तुर्की <OR> ओटोमन <OR> तुर्की भाषा <OR> तुर्की भाषा
हरा केप,पुर्तगाली
फ्रांसिया,फ्रेंच
प्यहाजोकि,फिनिश
नेगारा ब्रुनेई दारुस्सलाम,मलय
नॉर्मंडी,नॉर्मन भाषा <OR> नॉर्मन <OR> लैटिनीकृत <OR> लैटिन
संयुक्त राज्य,पुरानी अंग्रेजी <OR> एंग्लिसाइज्ड <OR> Please provide the text you want to translate into Hindi <OR> अंग्रेजीकृत <OR> अंग्रेजीकृत <OR> अंग्रेजी भाषा <OR> अंग्रेजी <OR> अंग्रेजी भाषी लोग <OR> आधुनिक अंग्रेजी <OR> अंग्रेज़ी भाषी <OR> अंग्रेजी भाषी
फ्रेंच-अर्मेनियाई,फ्रेंच भाषा <OR> फ्रेंच
त्रांसनिस्त्रियन गणराज्य,रूसी <OR> मोल्दोवा
निल्सिआ,फिनिश
सीकालात्वा,फिनिश
कर्कोला,फिनिश
उत्तर प्रदेश,मानक हिंदी <OR> उर्दू <OR> हिंदी <OR> उर्दू भाषा <OR> हिंदी भाषा
उत्तर अमेरिकी स्वतंत्र व्यापार समझौता,स्पेनिश <OR> फ्रेंच
यूक्रेनी सोशलिस्ट सोवियत गणराज्य,यूक्रेनी <OR> रूसी भाषा
क्रास्नोदार क्राय,रूसी
बर्नीज जुरा,फ्रेंच भाषा <OR> फ्रेंच
बोलहराद रायोन,यूक्रेनी
स्पेनी उपनिवेशिक युग,स्पेनिश <OR> स्पेनिश भाषा
खांती-मानसिया,रूसी <OR> खांती <OR> मानसी
इलोमांत्सी,फिनिश
चुकोत्का स्वायत्त ओक्रग,चुकची <OR> चुकची <OR> रूसी
बर्ग्स कम्यून,स्वीडिश
गाम्बिया,अंग्रेजी
बोल्शेविक,रूसी
खोरासान,मध्य फारसी <OR> फारसी <OR> फ़ारसी भाषा
मध्य अफ्रीकी गणराज्य,सैंगो <OR> फ्रेंच <OR> संघो
बेंगकुलु,इंडोनेशियाई <OR> मध्य मलय <OR> इंडोनेशिया
सोट्टुंगा,स्वीडिश
माल्टीज़ भाषा,माल्टा <OR> यूरोपीय संघ
हिन्दुस्तान,हिंदी
सीकाजोकी,फिनिश
कंबोडिया,खमेर
टेनेसी,अंग्रेजी
उत्तर कोरिया,उत्तर कोरियाई
फ्रेंच कनाडियन,फ्रेंच
उप्पलैंड्स-ब्रो नगर पालिका,स्वीडिश
क्रास्नोयार्स्क प्रदेश,रूसी
कर्विया,फिनिश
हैदराबाद शहर,उर्दू
नीदरलैंड,नीदरलैंड <OR> डच <OR> डच भाषा <OR> डच भाषा <OR> डच भाषा
रायसियो,फिनिश
चेकोस्लोवाकिया,चेक भाषा <OR> स्लोवाक भाषा <OR> स्लोवाक <OR> स्लोवाक भाषा <OR> स्लोवाकियाई <OR> चेक
शिमला,हिंदी
नामसार्थक समुदाय,वालेंसियाई
दक्षिण अफ्रीका,वेंडा <OR> सेत्सवाना <OR> सेत्सवाना <OR> वेंडा भाषा <OR> अफ्रीकी भाषा <OR> स्वाति <OR> ट्सोंगा <OR> सिस्वाती <OR> सेसोथो भाषा <OR> सेत्स्वाना <OR> सोथो <OR> त्शिवेंडा <OR> उत्तरी सोथो <OR> इसिक्सोसा <OR> अंग्रेजी भाषा <OR> सेसोथो <OR> ज़ुलु <OR> दक्षिणी सोथो <OR> सोथो भाषा <OR> इसीज़ुलु <OR> ज़ुलु भाषा <OR> स्वाज़ी <OR> शंगान <OR> सिस्वाती <OR> अंग्रेजी <OR> सेपेडी <OR> शित्सोंगा <OR> सिस्वाती <OR> अंग्रेजी भाषी <OR> ख़ोसा भाषा <OR> उत्तरी सोथो <OR> अफ्रीक <OR> अफ्रीकांस <OR> खोसा <OR> स्वाति भाषा <OR> ट्सोंगा भाषा <OR> सेसोथो <OR> उत्तरी सोथो भाषा <OR> ट्स्वाना भाषा
ईस्टर द्वीप,स्पेनिश
सहरावी अरब लोकतांत्रिक गणराज्य,स्पेनिश
पदासजोकि,फिनिश
कोलारी,फिनिश
उदमुर्त,रूसी
अन्नं,वियतनामी
कियासो स्विट्जरलैंड,इतालवी
पेरू गणराज्य,स्पेनिश <OR> केचुआ
अंगोला,पुर्तगाली भाषा <OR> पुर्तगाली भाषा <OR> पुर्तगाली
दक्षिण पूर्व,स्वीडिश
अरूबा,डच <OR> डच भाषा <OR> पापियामेंटो <OR> डच भाषा <OR> पपियामेंटु
गर्नसी,अंग्रेजी भाषा <OR> अंग्रेजी <OR> फ्रेंच
स्लोवेनियाई भाषा,स्लोवेनिया
रूसी अध्ययन,रूसी भाषा
बर्न,जर्मन भाषा <OR> फ्रेंच <OR> जर्मन भाषा
गगाउज़,रूसी
बेलारूसी सोवियत समाजवादी गणराज्य,रूसी
ज़ुलूलैंड,ज़ुलु भाषा
सावोनलिन्ना,फिनिश भाषा <OR> फिनिश
अकादमिस्का दमकोरेन लीरान,स्वीडिश
फेरो द्वीपसमूह,फेरोइज
इनारी नगर पालिका,फिनिश
अर्जेंटीना का,स्पेनिश
किटी,फिनिश
बेडानो,इतालवी
आज़ाद कश्मीर,उर्दू <OR> अंग्रेजी
हैमरलैंड,स्वीडिश
वेटिकन सिटी,इतालवी भाषा <OR> इतालवी
स्वीडन-नॉर्वे,स्वीडिश
जाम्बी,मलय <OR> इंडोनेशियाई <OR> इंडोनेशिया
अद्यगेया,पश्चिमी सर्कासियन <OR> रूसी <OR> अदिगे <OR> चेरकेसी
बुर्यातिया,रूसी
सिएरा लियोन का,अंग्रेजी
यूरोपीय समुदाय,स्पेनिश <OR> इतालवी
फ्रेंच समुदाय,फ्रेंच
क्योटो प्रीफेक्चर,जापान
साइप्रस,तुर्की <OR> आधुनिक ग्रीक भाषा
क्रूसेडर राज्य,लैटिन
केप वर्डे,केपवर्डियन क्रिओलो <OR> सांतो अंताओ क्रियोलो <OR> नमक <OR> सांतो अंताओ <OR> साओ विसेंटे <OR> केप वर्डियन क्रियोल <OR> पुर्तगाली <OR> साओ विसेंटे क्रियोलो <OR> क्रियोल <OR> पुर्तगाली भाषा
किविजार्वि,फिनिश
इल दे फ्रांस,फ्रेंच
कोमी,रूसी
अल्ताई क्षेत्र,रूसी
कैमरून,अंग्रेजी <OR> फ्रेंच <OR> अंग्रेजी भाषी लोग <OR> फ्रेंकोफोन <OR> अंग्रेज़ी भाषी <OR> अंग्रेजी भाषी <OR> फ्रैंकोफोन
लेस्तिजार्वि,फिनिश
मोल्दाविया,मोल्दोवन
मध्य अफ्रीका,संगो <OR> फ्रेंच
कैनरी द्वीप,स्पेनिश
लोइमा,फिनिश
नहीं,नॉर्वेजियन (नाइनोर्स्क) <OR> नया नॉर्वेजियन
अलकांत,स्पेनिश <OR> वालेंसियाई
बल्गेरियाई चर्च,बल्गेरियाई भाषा <OR> बल्गेरियाई
तोर्नियो,फिनिश
क्रास्नोयार्स्क,रूसी
उत्तर-पूर्व ब्राज़ील,पुर्तगाली
कैसलानो,इतालवी
पोलिनेशियाई,फ्रेंच
स्पेनी उपनिवेशिकरण,स्पेनिश
मिक्केली,फिनिश भाषा <OR> फिनिश
बीजान्टिन सम्राट,लैटिन
कैटालुना,स्पेनिश
आरगाऊ,जर्मन भाषा
कांगो,फ्रेंच
बगलान प्रांत,दाढ़ी
वेवे,फ्रेंच
एसआरवी,वियतनामी
ब्रह्मांड सुंदरी,अंग्रेजी
अमेरिकी,एंग्लिसाइज्ड <OR> Please provide the text you want to translate into Hindi <OR> अंग्रेजीकृत <OR> अंग्रेजी भाषा <OR> अंग्रेजी <OR> ब्रिटिश अंग्रेजी <OR> अंग्रेज़ी भाषी <OR> एंग्लोफोन
ह्वेह्वेतेनांगो विभाग,अवाकाटेक <OR> अकाटेक <OR> चुज <OR> जाकाल्टेक
फोग्लो,स्वीडिश
ओबरलैंड,जर्मन भाषा
एम'हाजेर,अमाज़िघ
बेलीज,अंग्रेजी <OR> अंग्रेज़ी भाषी <OR> अंग्रेजी भाषी
आचे विशेष क्षेत्र (नंग्रो आचे दारुस्सलाम,इंडोनेशियाई
मोल्दावियाई,रोमानियाई
बुल्गारिया,मध्यकालीन ग्रीक <OR> मध्यकालीन ग्रीक <OR> मानक बल्गेरियाई <OR> पुरानी चर्च स्लावोनिक <OR> बल्गेरियाई भाषा <OR> पुरानी बल्गेरियाई <OR> बल्गेरियाई सिरिलिक <OR> बल्गेरियाई भाषा <OR> मानक बल्गेरियाई <OR> बल्गेरियाई <OR> बीजान्टिन ग्रीक
प्रोवांस,फ्रेंच भाषा <OR> फ्रेंच
जेनेवा के,फ्रेंच
हार्टोला (फिनलैंड),फिनिश
ज़ैरियन,फ्रेंच
रोमन साम्राज्य,लैटिन भाषा <OR> ग्रीक भाषा <OR> लैटिन <OR> ग्रीक <OR> लैटिन भाषा
पैमियो,फिनिश
बोल्शेविक रूस,रूसी
युकोन प्रदेश,एंग्लिसाइज्ड
वर्जिन द्वीपसमूह,अंग्रेजी
नाज़ी,जर्मन भाषा <OR> जर्मन भाषा
स्टालिनो,यूक्रेनी <OR> रूसी
रॉबर्ट बेन मैडिसन,तालोसान
यूक्रेनियन्स,यूक्रेनी
विची फ्रांस,फ्रेंच
एस्टोनिया,एस्टोनियाई
ऑस्ट्रेलिया,अंग्रेजी भाषा <OR> अंग्रेजी <OR> एंग्लोफोन <OR> एंग्लो
ओर्बे,फ्रेंच
भूटान,ज़ोंगखा <OR> ज़ोंगखा <OR> ज़ोंगखा भाषा
छत्तीसगढ़,छत्तीसगढ़ी
मास्कोवी रूस,रूसी
युज़ोवका,रूसी भाषा
मारी एल,मैडो मारी <OR> रूसी
साम्राज्यवादी चीन,चीनी
लिमिंका,फिनिश
गेटा ऑलैंड,स्वीडिश
एल'आब्बाये,फ्रेंच
न्यूज़ीलैंड,अंग्रेजी <OR> न्यूज़ीलैंड सांकेतिक भाषा
पश्चिमी बास्क देश,स्पेनिश
"क्षमा करें ""Trougout"" शब्द का कोई अर्थ नहीं है",अमाज़िघ
ओटोमन वंश,ओटोमन तुर्की
सर्बियाई,सर्बियाई सिरिलिक
किरुना,स्वीडिश <OR> फिनिश
गुयानीज,अंग्रेजी भाषा <OR> अंग्रेजी
महाराष्ट्र,मराठी <OR> मराठी भाषा
केंद्रीय जिला,स्पेनिश
सोवियत अज़रबैजान,अज़रबैजानी <OR> रूसी
लेप्पाविर्ता,फिनिश
काल्मिकिया,रूसी <OR> काल्मिक
अंतर्राष्ट्रीय परमाणु ऊर्जा एजेंसी,रूसी
कांगो-किंशासा,फ्रेंच
सोवियत युग,रूसी
पनामा में जन्मे,स्पेनिश
हांगकांग,अंग्रेजी भाषा <OR> अंग्रेजी <OR> चीनी <OR> लिखित चीनी <OR> अंग्रेजी भाषी
लिपेरी,फिनिश
रवांडीज,अंग्रेजी <OR> फ्रेंच
कोसोवो,सर्बियाई
स्वायत्त प्रांत,सर्बियाई <OR> सर्बियाई सिरिलिक
तुवालु,अंग्रेजी <OR> तुवालु <OR> तुवालुअन
कोसोवान,सर्बियाई
कम्यूनार्ड,फ्रेंच
साल्वाडोरियन,स्पेनिश <OR> स्पेनी भाषा <OR> स्पेनिश भाषा
वासा,स्वीडिश <OR> स्वीडिश भाषी <OR> फिनिश
सावोइआ,फ्रेंच
इल्माजोकी,फिनिश
सोलना नगर पालिका,स्वीडिश
हांको,स्वीडिश <OR> फिनिश
ब्रुनेई,मलय
क्यूबेक सिटी,फ्रेंच
एंटिलेन,डच
अमेरिका की आर्मेनियाई राष्ट्रीय समिति,आर्मेनियाई
स्विस संघ,इतालवी <OR> फ्रेंच
काल्मिकिया,काल्मिक भाषा <OR> काल्मिक ओइरात <OR> रूसी <OR> काल्मिक
बेलारूसी सोवियत समाजवादी गणराज्य,रूसी <OR> बेलारूसी
एचके,अंग्रेजी
नीचे की ओर,अंग्रेजी
आयरिश,आयरिश भाषा <OR> अंग्रेजी <OR> पुरानी आयरिश <OR> गेलिक <OR> आधुनिक प्रारंभिक आयरिश
बिहार,क्रोएशियाई
जिंगपॉ,कचिन राज्य
तुर्की,तुर्की
स्लोवेनियाई,यूरोपीय संघ <OR> स्लोवेनिया <OR> यूरोप <OR> यूरोपीय संघ <OR> स्लोवेनियाई <OR> स्लोवेनिया
ब्रिटिश उपनिवेश,चीनी
महान श्वेत उत्तर,अंग्रेजी
यू.के.,अंग्रेजी
स्टेशिया,डच
ज़ारवादी रूस,रूसी
पेल्लो,फिनिश
पोर्ट क्लेरेंस,स्पेनिश
मेक्सिकन गणराज्य,स्पेनिश
हेरजेडालेन नगर पालिका,स्वीडिश
बल्गेरियाई पैट्रिआर्केट,बल्गेरियाई
बेल्जियम का जर्मन भाषी समुदाय,जर्मन भाषा
सिंगापुर शहर,मलय <OR> तमिल
चिली,स्पेनिश भाषा <OR> हिस्पैनो <OR> स्पेनिश <OR> चिली स्पेनिश <OR> स्पेनिश भाषा <OR> स्पेनिश भाषा <OR> हिस्पैनिक
नॉर्वे,भूमि भाषा <OR> क्वेन <OR> सामी <OR> नीनोर्स्क <OR> नीनोर्स्क <OR> उत्तरी सामी <OR> नॉर्वेजियन नाइनोर्स्क <OR> सामी भाषा <OR> सामी भाषाएँ <OR> नया नॉर्वेजियन <OR> सामी <OR> क्वेन भाषा
केसालाहती,फिनिश
क्रिस्टिनेस्टाद,स्वीडिश <OR> फिनिश
पर्सिया,फ़ारसी भाषा <OR> प्राचीन यूनानी <OR> ग्रीक <OR> फारसी <OR> पुरानी फ़ारसी
माल्टा,माल्टीज़ <OR> अंग्रेजी <OR> अंग्रेजी भाषा <OR> माल्टीज़ भाषा
रसेबोर्ग,स्वीडिश <OR> फिनिश
केस्कलिन्न ताल्लिन्न,एस्टोनियाई
बुर्यातिया,रूसी
औलाद बूबकर,अमाज़िघ
कोलोंज-बेलेरिव,फ्रेंच
