source,target
হুয়েহুয়েতেনাঙ্গো,অওকাটেক। <OR> আকাটেক। <OR> অগুয়াকাটেকো <OR> ম্যাম। <OR> চুজ।
"রাউমা, ফিনল্যান্ড।",ফিনিশ
ভেইরিয়ার,ফরাসি
লিয়েতো।,ফিনিশ
"আই, ফিনল্যান্ড।",ফিনিশ
মস্কো গাণিতিক সমাজ,রুশ
সাদা রাশিয়া,বেলারুশিয়ান
ওয়ালোনিয়া,ফরাসি ভাষা <OR> ফরাসি <OR> ফরাসি ভাষা <OR> ফ্রাঙ্কোফোন <OR> ফ্রাঙ্কোফোন
কানাডা,ফরাসি ভাষা <OR> এংলিকাইজড <OR> ইএন <OR> এংলিকাইজড <OR> ফরাসি ভাষা <OR> অ্যাংলো <OR> ইংরেজি ভাষা <OR> ইংরেজি <OR> ফরাসি <OR> আধুনিক ইংরেজি <OR> ফরাসি ভাষা <OR> ফ্রাঙ্কোফোনি <OR> ফ্রাঙ্কোফোন <OR> ফরাসি ভাষা <OR> অ্যাংলোফোন <OR> ফরাসি ভাষা <OR> অ্যাঙ্গ্লোফোন <OR> ফ্রাঙ্কোফোন
কুহমো।,ফিনিশ
হন্ডুরিয়ানরা,স্প্যানিশ
মোজাম্বিক,পোর্তুগিজ
খমের,খমের ভাষা
সার্বো-মন্টেনেগ্রিন,সার্বিয়ান
রাশিয়া এসএসআর,রুশ
অর্কিশ,কালো ভাষা
রেনেন্স।,ফরাসি ভাষা <OR> ফ্রাঙ্কোফোন
উত্তর সুমাত্রা,ইন্দোনেশিয়ান ভাষা <OR> ইন্দোনেশিয়ান <OR> মিনাংকাবাউ ভাষা <OR> ইন্দোনেশিয়া
হাঙ্গো,সুইডিশ <OR> ফিনিশ
সাকুলা,ফিনিশ
নুমেলা,ফিনিশ
হাইতি,হাইতিয়ান ক্রেওল <OR> ফরাসি
ঐক্যবদ্ধ প্রদেশসমূহ,উর্দু <OR> হিন্দি
স্লোভেনীয় ভাষা,স্লোভেনিয়ান <OR> স্লোভেনিয়া
জর্জিয়ান অর্থোডক্স খ্রিস্টান,জর্জিয়ান
লেহেনডাকারি,স্প্যানিশ <OR> বাস্ক
কাতালানরা,স্প্যানিশ <OR> কাতালান <OR> কাতালান ভাষা
স্টাভ্রোপোল ক্রাই,রুশ
ভিশি যুগ,ফরাসি
গুয়াতেমালা,কাস্তিলিয়ান <OR> স্প্যানিশ <OR> স্প্যানিশ ভাষার <OR> স্প্যানিশ ভাষা
"কেবেক সিটি, কেবেক।",ফরাসি ভাষা <OR> ফরাসি ভাষা <OR> ফরাসি <OR> ফ্রাঙ্কোফোন
ফরাসি ইতিহাসবিদ,ফরাসি
তুভা প্রজাতন্ত্র,তুভান <OR> রুশ
মর্ডোভিয়া,রুশ ভাষা <OR> এর্জ্যা। <OR> মোক্ষ ভাষা <OR> এর্জ্যা ভাষা <OR> রুশ <OR> এর্জ্যা ভাষা <OR> মোক্ষ
ওউলুনসালো,ফিনিশ
অলিকান্তে,স্প্যানিশ <OR> ভ্যালেন্সিয়ান
জুরা বার্নোইস প্রশাসনিক জেলা,ফরাসি
কেইটেলে,ফিনিশ
ব্রিটিশ কলম্বিয়া,ইংরেজি ভাষা <OR> ইংরেজি
আমেজ্জাও।,আমাজিগ
তুরস্ক,অটোমান তুর্কি <OR> তুর্কি <OR> তুর্কিক <OR> আধুনিক তুর্কী <OR> অটোমান <OR> তুর্কি ভাষা <OR> তুর্কি ভাষা
সবুজ কেপ,পোর্তুগিজ
ফ্রান্স,ফরাসি
পুহাজোকি,ফিনিশ
ব্রুনেই দারুসসালাম,মালয়
নরম্যান্ডি,নরম্যান ভাষা <OR> নরম্যান <OR> লাতিনাইজড <OR> লাতিন
মার্কিন যুক্তরাষ্ট্র,পুরাতন ইংরেজি <OR> এংলিকাইজড <OR> ইএন <OR> অ্যাঙ্গ্লিকাইজড <OR> এংলিকাইজড <OR> ইংরেজি ভাষা <OR> ইংরেজি <OR> অ্যাংলোফোনস <OR> আধুনিক ইংরেজি <OR> অ্যাঙ্গ্লোফোন <OR> অ্যাংলোফোন
ফরাসি-আর্মেনিয়ান,ফরাসি ভাষা <OR> ফরাসি
ট্রান্সনিস্ট্রিয়ান প্রজাতন্ত্র,রুশ <OR> মলদোভা
নিলসিয়া,ফিনিশ
সিকালাত্ব,ফিনিশ
কার্কোলা,ফিনিশ
উত্তর প্রদেশ,মানক হিন্দি <OR> উর্দু <OR> হিন্দি <OR> উর্দু ভাষা <OR> হিন্দি ভাষা
নাফটা,স্প্যানিশ <OR> ফরাসি
ইউক্রেনীয় সমাজতান্ত্রিক সোভিয়েত প্রজাতন্ত্র,ইউক্রেনীয় <OR> রুশ ভাষা
ক্রাসনোডার ক্রাই,রুশ
বার্নিজ জুরা,ফরাসি ভাষা <OR> ফরাসি
বোলহ্রাদ রায়ন,ইউক্রেনীয়
স্প্যানিশ উপনিবেশিক যুগ,স্প্যানিশ <OR> স্প্যানিশ ভাষা
খান্তি–মান্সিা,রুশ <OR> খান্তি <OR> মানসী
ইলোমান্তসি,ফিনিশ
চুকোটকা স্বায়ত্তশাসিত ওক্রুগ,চুকচি <OR> চুকচি <OR> রুশ
বার্গস কমিউন,সুইডিশ
গাম্বিয়া,ইংরেজি
বোলশেভিক,রুশ
খোরাসান,মধ্য পার্সিয়ান <OR> ফারসি <OR> ফারসি ভাষা
মধ্য আফ্রিকান প্রজাতন্ত্র,সঙ্গো <OR> ফরাসি <OR> সংঘো
বেঙ্গকুলু,ইন্দোনেশীয় <OR> মধ্য মালয় <OR> ইন্দোনেশিয়া
সত্তুঙ্গা,সুইডিশ
মাল্টিজ ভাষা,মাল্টা <OR> ইইউ
হিন্দুস্তান,হিন্দি
সিকাজোকি,ফিনিশ
"កម្ពុជា translates to ""កម្ពុជា"" in Bengali as well. However, if you meant to translate the name ""Cambodia"" into Bengali, it would be ""কাম্বোডিয়া"".",খমের
টেনেসি,ইংরেজি
ডিপিআরকে,উত্তর কোরীয়
ফরাসি কানাডিয়ান,ফরাসি
আপল্যান্ডস-ব্রো পৌরসভা,সুইডিশ
ক্রাসনোইয়ার্সক অঞ্চল,রুশ
কার্ভিয়া,ফিনিশ
হায়দ্রাবাদ শহর,উর্দু
নেদারল্যান্ডস,NL <OR> ডাচ <OR> ডাচ ভাষা <OR> ডাচ ভাষা <OR> ডাচ ভাষা
রেইসিও,ফিনিশ
চেকোস্লোভাকিয়া,চেক ভাষা <OR> স্লোভাক ভাষা <OR> স্লোভাক <OR> স্লোভাক ভাষা <OR> স্লোভাকিয়ান <OR> চেক
শিমলা,হিন্দি
নেমসেক কমিউনিটি,ভ্যালেন্সিয়ান
দক্ষিণ আফ্রিকা,ভেন্ডা <OR> সেৎসোয়ানা <OR> সেটসওয়ানা <OR> ভেন্ডা ভাষা <OR> আফ্রিকান্স ভাষা <OR> স্বাতী <OR> ছোঙ্গা <OR> সিসওয়াতি <OR> সেসোথো ভাষা <OR> টসওয়ানা <OR> সোথো <OR> টশিভেন্ডা <OR> উত্তর সোথো <OR> ইসিXhosa <OR> ইংরেজি ভাষা <OR> সে সোথো <OR> জুলু <OR> দক্ষিণ সোথো <OR> সোথো ভাষা <OR> ইসিজুলু <OR> জুলু ভাষা <OR> স্বাজি <OR> শাঙ্গান <OR> সিসওয়াতি <OR> ইংরেজি <OR> সেপেডি <OR> জিক্সোনগা <OR> সিসওয়াতি <OR> অ্যাংলোফোন <OR> ঝোশা ভাষা <OR> উত্তর সোথো <OR> আফ্রিক <OR> আফ্রিকান্স <OR> জোশা <OR> স্বাতী ভাষা <OR> ছোঙ্গা ভাষা <OR> সেসোথো <OR> উত্তর সোথো ভাষা <OR> টসওয়ানা ভাষা
ইস্টার দ্বীপ,স্প্যানিশ
সাহরাওয়ি আরব গণতান্ত্রিক প্রজাতন্ত্র,স্প্যানিশ
পাদাসজোকি,ফিনিশ
কলারি,ফিনিশ
উদমুর্ত,রুশ
অন্নম।,ভিয়েতনামী
"চিয়াসো, সুইজারল্যান্ড।",ইতালীয়
পেরুর প্রজাতন্ত্র,স্প্যানিশ <OR> কেচুয়া
অ্যাঙ্গোলা,পোর্তুগিজ ভাষা <OR> পোর্তুগিজ ভাষা <OR> পোর্তুগিজ
এসই,সুইডিশ
আরুবা,ডাচ <OR> ডাচ ভাষা <OR> পাপিয়ামেন্টো <OR> ডাচ ভাষা <OR> পাপিয়ামেন্টু
গার্নসি,ইংরেজি ভাষা <OR> ইংরেজি <OR> ফরাসি
স্লোভেনীয় ভাষা,স্লোভেনিয়া
রুশ অধ্যয়ন,রুশ ভাষা
বার্ন,জার্মান-ভাষা <OR> ফরাসি <OR> জার্মান ভাষা
গাগাউজ,রুশ
বেলারুশিয়ান এসএসআর,রুশ
জুলুল্যান্ড,জুলু ভাষা
সাভোনলিন্না,ফিনিশ ভাষা <OR> ফিনিশ
একাডেমিস্কা ডামকোরেন লিরান,সুইডিশ
ফারো আইল্যান্ডস,ফারোইজ
ইনারি পৌরসভা,ফিনিশ
আর্জেন্টিনীয়,স্প্যানিশ
কিটি।,ফিনিশ
বেদানো,ইতালীয়
আজাদ কাশ্মীর,উর্দু <OR> ইংরেজি
হামারল্যান্ড।,সুইডিশ
ভ্যাটিকান সিটি,ইতালীয় ভাষা <OR> ইতালীয়
সুইডেন-নরওয়ে,সুইডিশ
জাম্বি,মালয় <OR> ইন্দোনেশিয়ান <OR> ইন্দোনেশিয়া
আদিগেয়া,পশ্চিম চেরকেসিয়ান <OR> রুশ <OR> আদিগেহ <OR> চেরকেসিয়ান
বুরিয়াতিয়া,রুশ
সিয়েরা লিওনীয়ান,ইংরেজি
ইউরোপীয় সম্প্রদায়,স্প্যানিশ <OR> ইতালীয়
ফরাসি সম্প্রদায়,ফরাসি
কিয়োতো প্রিফেকচার,জাপান
সাইপ্রাস,তুর্কি <OR> আধুনিক গ্রীক ভাষা
ক্রুসেডার রাজ্য,লাতিন
কেপ ভার্দে,কেপভার্দিয়ান ক্রিওলো <OR> সান্তো আন্তাও ক্রিওলো <OR> সাল <OR> সান্তো আন্তাও <OR> সাও ভিসেন্টে <OR> কেপ ভার্দিয়ান ক্রিওল <OR> পোর্তুগিজ <OR> সাও ভিসেন্তে ক্রিওলো <OR> ক্রেওল <OR> পোর্তুগিজ ভাষা
কিভিজারভি,ফিনিশ
ইল দে ফ্রান্স,ফরাসি
কোমি।,রুশ
আলতাই অঞ্চল,রুশ
ক্যামেরুন,ইংরেজি <OR> ফরাসি <OR> অ্যাংলোফোনস <OR> ফ্রাঙ্কোফোন <OR> অ্যাংলোফোন <OR> অ্যাংলোফোন <OR> ফ্রাঙ্কোফোন
লেস্টিজার্ভি,ফিনিশ
মলদোভা,মলদোভান
মধ্য আফ্রিকা,সঙ্গো <OR> ফরাসি
ক্যানারি দ্বীপপুঞ্জ,স্প্যানিশ
লইমা,ফিনিশ
না।,নরওয়েজিয়ান (নাইনর্স্ক) <OR> নতুন নরওয়েজিয়ান
আলাকান্ত,স্প্যানিশ <OR> ভ্যালেন্সিয়ান
বুলগেরিয়ান গির্জা,বুলগেরিয়ান ভাষা <OR> বুলগেরিয়ান
টর্নো,ফিনিশ
ক্রাসনোইয়ার্সক,রুশ
উত্তর-পূর্ব ব্রাজিল,পোর্তুগিজ
ক্যাসলানো,ইতালীয়
পলিনেশিয়ান,ফরাসি
স্প্যানিশ উপনিবেশীকরণ,স্প্যানিশ
মিক্কেলি,ফিনিশ ভাষা <OR> ফিনিশ
বাইজেন্টাইন সম্রাটগণ,লাতিন
কাতালুনিয়া,স্প্যানিশ
আর্গাউ,জার্মান ভাষা
কঙ্গো,ফরাসি
বাঘলান প্রদেশ,দারি।
ভেভে,ফরাসি
এসআরভি,ভিয়েতনামী
মিস ইউনিভার্স,ইংরেজি
আমেরিকান,এংলিকাইজড <OR> ইএন <OR> এংলিকাইজড <OR> ইংরেজি ভাষা <OR> ইংরেজি <OR> ব্রিটিশ ইংরেজি <OR> অ্যাংলোফোন <OR> অ্যাংলোফোন
হুয়েহুয়েতেনাঙ্গো বিভাগ,অওকাটেক। <OR> আকাটেক। <OR> চুজ। <OR> জাকালটেক
ফোগলো,সুইডিশ
ওবারল্যান্ড,জার্মান ভাষা
মহাজের,আমাজিগ
বেলিজ,ইংরেজি <OR> অ্যাংলোফোন <OR> অ্যাংলোফোন
আছেহ বিশেষ অঞ্চল (নাংগ্রো আছেহ দারুসসালাম),ইন্দোনেশীয়
মলদোভিয়ান,রোমানিয়ান
বুলগেরিয়া,মধ্যযুগীয় গ্রীক <OR> মধ্যযুগীয় গ্রীক <OR> মানক বুলগেরিয়ান। <OR> পুরাতন গির্জা স্লাভনিক <OR> বুলগেরিয়ান ভাষা <OR> পুরাতন বুলগেরিয়ান <OR> বুলগেরিয়ান সাইরিলিক <OR> বুলগেরিয়ান-ভাষা <OR> মানক বুলগেরিয়ান <OR> বুলগেরিয়ান <OR> বাইজেন্টাইন গ্রীক
প্রোভেন্স,ফরাসি ভাষা <OR> ফরাসি
জেনেভোয়া,ফরাসি
হার্তোলা (ফিনল্যান্ড),ফিনিশ
জাইরীয়ান,ফরাসি
রোমান সাম্রাজ্য,লাতিন ভাষা <OR> গ্রীক ভাষা <OR> লাতিন <OR> গ্রিক <OR> লাতিন ভাষা
পাইমিও,ফিনিশ
বোলশেভিক রাশিয়া,রুশ
ইউকন টেরিটরি,এংলিকাইজড
ভারতীয় দ্বীপপুঞ্জ,ইংরেজি
নাজিরা,জার্মান ভাষা <OR> জার্মান ভাষা
স্টালিনো,ইউক্রেনীয় <OR> রুশ
রবার্ট বেন ম্যাডিসন,টালোসান
ইউক্রেনীয়রা,ইউক্রেনীয়
ভিশি ফ্রান্স,ফরাসি
এস্তল্যান্ড,এস্তোনিয়ান
অস্ট্রেলিয়া,ইংরেজি ভাষা <OR> ইংরেজি <OR> অ্যাংলোফোন <OR> অ্যাংলো
অর্বে।,ফরাসি
ভুটান,জোংখা <OR> জোংখা <OR> Dzongkha ভাষা
ছত্তিশগড়,ছত্তিশগড়ী
মস্কোভাইট রাশিয়া,রুশ
ইউজোভকা,রুশ ভাষা
মারী এল,মেডো মেরি <OR> রুশ
সম্রাট চীন,চীনা
লিমিঙ্কা,ফিনিশ
"গেটা, অ্যাল্যান্ড।",সুইডিশ
অ্যাবয়ে,ফরাসি
নিউজিল্যান্ড,ইংরেজি <OR> নিউজিল্যান্ড সাইন ল্যাঙ্গুয়েজ
পশ্চিম বাস্ক দেশ,স্প্যানিশ
ট্রাউগাউট,আমাজিগ
অটোমান রাজবংশ,অটোমান তুর্কি
সার্বিয়ান,সার্বিয়ান সিরিলিক
কিরুনা,সুইডিশ <OR> ফিনিশ
গায়ানিজ,ইংরেজি ভাষা <OR> ইংরেজি
মহারাষ্ট্র,মারাঠি <OR> মারাঠি ভাষা
জেলা কেন্দ্রীয়,স্প্যানিশ
সোভিয়েত আজারবাইজান,আজারবাইজানী <OR> রুশ
লেপ্পাভির্তা,ফিনিশ
কাল্মিকিয়া,রুশ <OR> কাল্মিক
আইএইএএ।,রুশ
কঙ্গো-কিনশাসা,ফরাসি
সোভিয়েত যুগ,রুশ
